BmpSubmittedId,AgencyId,StateUniqueIdentifier,StateId,BmpId,GeographyId,LoadSourceId,UnitId,Amount,isValid,ErrorMessage,RowIndex,Cost,LrsegId,LoadSourceIdOriginal,TotalAmount,Capital,NitrogenReduction,PhosphorusReduction,SedimentsReduction
459,9,SU458,8,62,11908,106,1,212.681838728958,True,,459,6301.76288153903,1974,25,,,,,
786,9,SU785,8,142,11907,18,1,13.1593927591346,True,,786,125.409009480616,1973,8,13.1593951342582,119.48728524896,1.31593929552248,0,0
787,9,SU786,8,142,11910,18,1,58.2353040145919,True,,787,554.982431708557,1976,8,58.2353055998772,528.776556009493,5.82353048823655,0,0
788,9,SU787,8,142,11908,18,1,673.826210216973,True,,788,6421.56360343674,1974,8,673.826210216973,6118.34193736126,67.3826220257766,0,0
