BaseConditionId,CountyId,LoadSourceId,AnimalId,AnimalUnits
1,1,17,17,251.612
1,1,18,17,100.649296
1,2,17,17,356471.25
1,2,18,17,534489.9892800001
1,3,18,17,2415.405683
1,4,17,17,2374.7803
1,4,18,17,879.3311534
1,5,17,17,452.80326
1,5,18,17,1721.7190999999998
1,6,18,17,462.085296
1,7,18,17,83.9539215
1,8,18,17,879.682971
1,9,18,17,68.04373860000001
1,11,18,17,199.55185859999997
1,12,18,17,175.205905
1,13,17,17,132576.80086999998
1,13,18,17,25825.710535
1,14,18,17,136.639019
1,15,17,17,36198.1740375
1,15,18,17,35359.882036999996
1,16,17,17,8600.273000000001
1,16,18,17,2511.358403
1,17,18,17,52.554181039999996
1,18,17,17,15187.289662
1,18,18,17,5606.357972
1,19,18,17,287.82625900000005
1,20,17,17,161425.71336999998
1,20,18,17,29575.168575000003
1,21,17,17,18957.839
1,21,18,17,10342.9471436
1,22,17,17,352826.7508
1,22,18,17,1441.5313540060001
1,23,18,17,581.8545505999999
1,24,18,17,1936.28098
1,25,17,17,357.3437
1,25,18,17,2850.5346799999998
1,26,18,17,992.942173
1,27,18,17,245.56063211999998
1,28,18,17,55.736044
1,29,18,17,536.422568
1,30,18,17,354.14632163
1,31,18,17,5909.1703824999995
1,32,18,17,774.040906
1,33,18,17,766.2606450000001
1,34,18,17,217.57256710000001
1,35,18,17,471.5815234
1,36,18,17,13750.788040000001
1,37,17,17,1136.4985
1,37,18,17,576.27183128
1,38,17,17,14388.454099999999
1,38,18,17,5757.34906
1,39,17,17,403.07006
1,39,18,17,13936.9803503
1,40,17,17,8133.74765
1,40,18,17,10010.171300000002
1,41,17,17,1259.5052
1,41,18,17,32777.970980000006
1,42,17,17,253.00609
1,42,18,17,20982.962
1,43,17,17,101911.14303
1,43,18,17,123338.0603
1,44,17,17,50713.8020194
1,44,18,17,2785.921645
1,45,17,17,7378.584000000001
1,45,18,17,30671.702899999997
1,46,17,17,23904.12
1,46,18,17,33340.03741999999
1,48,18,17,254.34331729999997
1,49,18,17,4.1771992000000004
1,50,18,17,553.573354
1,51,18,17,484.10479999999995
1,53,17,17,2267.7942
1,53,18,17,2808.7449610999997
1,54,18,17,197.05349
1,55,18,17,13242.22410461
1,56,18,17,164.34942
1,57,18,17,183.31723467
1,58,18,17,466.65627589999997
1,59,18,17,166.43349
1,60,18,17,120.60942
1,61,18,17,550.13775
1,62,18,17,369.52847184999996
1,63,18,17,98.000454
1,64,18,17,107.94941999999999
1,65,18,17,23.06
1,66,18,17,386.0937133
1,67,18,17,160.1845122
1,69,18,17,358.803364
1,71,18,17,346.46488
1,72,18,17,427.10848799999997
1,73,18,17,336.935364
1,74,17,17,1312.9326
1,74,18,17,7868.261794
1,75,18,17,325.03963949999996
1,76,18,17,233.3249275
1,77,17,17,41883.19748
1,77,18,17,1265.241914
1,78,18,17,331.48140854999997
1,79,17,17,63.710193999999994
1,79,18,17,222.666213046
1,80,18,17,456.41415515
1,82,17,17,18597.652
1,82,18,17,3546.0376348
1,83,18,17,295.74083704
1,85,17,17,5229.358
1,85,18,17,2532.2004656999998
1,86,18,17,291.121359
1,87,17,17,57143.1
1,87,18,17,1119.1308800000002
1,88,18,17,342.34285
1,89,18,17,30.740741399999997
1,90,18,17,37.358210799999995
1,91,17,17,919.8941699999999
1,91,18,17,961.520748
1,93,17,17,2434.3406
1,93,18,17,4934.89136497
1,94,18,17,2749.75548384
1,97,18,17,81.3928473
1,98,17,17,771.5339710000001
1,98,18,17,19.839236502
1,100,17,17,1.2780833
